id_efector;descripcion;abreviatura;id_area_programatica
54;CESAC Nº 9;CESAC 9;24
55;CESAC 26;CESAC 26;25
56;CESAC 33;CESAC 33;34
57;CESAC 34;CESAC 34;26
93;CESAC Nº 17;CESAC 17;25
102;CESAC  Nº  1;CESAC 1;33
103;CESAC  Nº  2;CESAC 2;30
104;CESAC  Nº  3;CESAC 3;32
105;CESAC  Nº  4;CESAC 4;32
106;CESAC  Nº  5;CESAC 5;32
107;CESAC  Nº  6;CESAC 6;35
108;CESAC  Nº  7;CESAC 7;32
109;CESAC  Nº  8;CESAC 8;33
110;CESAC  Nº 10;CESAC 10;33
111;CESAC  Nº 11;CESAC 11;28
112;CESAC  Nº 12;CESAC 12;30
113;CESAC  Nº 13;CESAC 13;35
114;CESAC  Nº 14;CESAC 14;35
115;CESAC  Nº 15;CESAC 15;24
116;CESAC  Nº 16;CESAC 16;33
117;CESAC  Nº 18;CESAC 18;35
118;CESAC  Nº 19;CESAC 19;35
119;CESAC  Nº 20;CESAC 20;35
120;CESAC  Nº 21;CESAC 21;25
121;CESAC  Nº 22;CESAC 22;27
123;CESAC  Nº 24;CESAC 24;35
124;CESAC  Nº 29 SAN JOSE;CESAC 29 SAN JOSE;32
125;CESAC  Nº 30 ZAVALETA;CESAC 30 ZAVALETA;33
126;CESAC  Nº 31 BARRIO ILLIA;CESAC 31 BARRIO ILLIA;35
128;CESAC N° 36;CESAC 36;31
129;CESAC N° 41;CESAC 41;24
131;CESAC Nº 25;CESAC 25;25
132;CESAC Nº 27;CESAC 27;30
134;CESAC Nº 35;CESAC 35;33
135;CESAC Nº 38;CESAC 38;27
136;CESAC Nº 39;CESAC 39;33
137;CESAC Nº 40;CESAC 40;35
138;CESAC Nº 44;CESAC 44;35
139;CESAC Nº 45;CESAC 45;28
157;CESAC N° 43;CESAC 43;32
158;CESAC Nº 37;CESAC 37;32
163;CESAC 47;CESAC 47;25
